Namespace(bs=48, fold=3, gpu=6, lr=5e-05, name='0817-fine')
~~~~~~~~~~~~ fold 3 ~~~~~~~~~~~~
raw train:68003 -- raw val:17000
train:68003 --- val:17000
load pre-trained done.....
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
 83   | -1.8560 | -1.6176 | -0.9400, -1.7033, -1.5461, -1.1316,-1.9593,-2.0116,-2.1224,-1.8864 | -1.6626 |  6 hr 15 min 
 84   | -1.8559 | -1.6192 | -0.9417, -1.7029, -1.5465, -1.1049,-1.9599,-2.0137,-2.1214,-1.8954 | -1.6608 |  6 hr 19 min 
 85   | -1.8549 | -1.6196 | -0.9432, -1.7057, -1.5458, -1.1241,-1.9636,-2.0131,-2.1259,-1.8877 | -1.6636 |  6 hr 24 min 
 86   | -1.8572 | -1.6247 | -0.9550, -1.7057, -1.5484, -1.0951,-1.9606,-2.0145,-2.1246,-1.8935 | -1.6622 |  6 hr 29 min 
 87   | -1.8566 | -1.6143 | -0.9269, -1.7034, -1.5474, -1.0971,-1.9581,-2.0126,-2.1181,-1.8953 | -1.6573 |  6 hr 35 min 
 88   | -1.8581 | -1.6204 | -0.9417, -1.7043, -1.5481, -1.1241,-1.9594,-2.0120,-2.1226,-1.8966 | -1.6636 |  6 hr 40 min 
 89   | -1.8583 | -1.6188 | -0.9412, -1.7043, -1.5472, -1.1348,-1.9580,-2.0088,-2.1187,-1.8892 | -1.6628 |  6 hr 44 min 
 90   | -1.8574 | -1.6220 | -0.9511, -1.7047, -1.5480, -1.1091,-1.9610,-2.0072,-2.1241,-1.8844 | -1.6612 |  6 hr 49 min 
 91   | -1.8575 | -1.6215 | -0.9460, -1.7051, -1.5461, -1.1132,-1.9606,-2.0132,-2.1287,-1.8975 | -1.6638 |  6 hr 53 min 
 92  * | -1.8595 | -1.6218 | -0.9436, -1.7060, -1.5504, -1.1307,-1.9600,-2.0134,-2.1254,-1.8941 | -1.6654 |  6 hr 58 min 
 93   | -1.8585 | -1.6189 | -0.9383, -1.7065, -1.5487, -1.1302,-1.9595,-2.0116,-2.1205,-1.8884 | -1.6630 |  7 hr 02 min 
 94   | -1.8596 | -1.6190 | -0.9419, -1.7036, -1.5480, -1.1269,-1.9572,-2.0086,-2.1181,-1.8913 | -1.6620 |  7 hr 07 min 
 95   | -1.8598 | -1.6217 | -0.9450, -1.7054, -1.5475, -1.1324,-1.9594,-2.0109,-2.1286,-1.8924 | -1.6652 |  7 hr 11 min 
 96   | -1.8586 | -1.6213 | -0.9427, -1.7064, -1.5482, -1.1021,-1.9627,-2.0090,-2.1298,-1.8960 | -1.6621 |  7 hr 16 min 
 97  * | -1.8610 | -1.6252 | -0.9539, -1.7057, -1.5488, -1.1340,-1.9607,-2.0124,-2.1263,-1.8950 | -1.6671 |  7 hr 20 min 
 98   | -1.8597 | -1.6163 | -0.9395, -1.7021, -1.5444, -1.1163,-1.9567,-2.0116,-2.1224,-1.8834 | -1.6595 |  7 hr 25 min 
 99   | -1.8601 | -1.6146 | -0.9272, -1.7048, -1.5486, -1.1101,-1.9577,-2.0127,-2.1086,-1.8953 | -1.6581 |  7 hr 29 min 
 100  | -1.8599 | -1.6182 | -0.9404, -1.7031, -1.5465, -1.1277,-1.9609,-2.0097,-2.1227,-1.8876 | -1.6623 |  7 hr 34 min 
 101  | -1.8615 | -1.6213 | -0.9414, -1.7077, -1.5495, -1.1261,-1.9596,-2.0106,-2.1268,-1.8933 | -1.6644 |  7 hr 38 min 
 102  | -1.8607 | -1.6189 | -0.9419, -1.7035, -1.5466, -1.0995,-1.9564,-2.0061,-2.1164,-1.8925 | -1.6579 |  7 hr 43 min 
 103 * | -1.8610 | -1.6275 | -0.9574, -1.7061, -1.5500, -1.1349,-1.9617,-2.0150,-2.1232,-1.9007 | -1.6686 |  7 hr 47 min 
 104  | -1.8611 | -1.6205 | -0.9417, -1.7055, -1.5492, -1.1328,-1.9584,-2.0103,-2.1142,-1.8943 | -1.6633 |  7 hr 52 min 
 105  | -1.8619 | -1.6176 | -0.9303, -1.7065, -1.5491, -1.1170,-1.9601,-2.0111,-2.1321,-1.8931 | -1.6624 |  7 hr 56 min 
 106  | -1.8626 | -1.6194 | -0.9411, -1.7059, -1.5471, -1.1247,-1.9540,-2.0101,-2.1219,-1.8916 | -1.6621 |  8 hr 01 min 
